# Time-averaged data for fix 2
# TimeStep c_thermo_temp c_thermo_pe c_thermo_press v_myVol v_myCella v_myCellb v_myCellc v_myCellgamma c_thermo_press[1] c_thermo_press[2] c_thermo_press[3] c_thermo_press[4] c_thermo_press[5] c_thermo_press[6]
3200 147.164 -311673 400.554 163776 73.2619 72.9353 35.3918 120 -154.462 1000.39 355.737 -2491.31 -567.887 -639.799
3250 146.14 -311673 -275.88 163819 73.275 72.9357 35.3947 120 -430.535 142.863 -539.97 -2856.49 -524.159 -1961.64
3300 145.723 -311673 -672.763 163857 73.2869 72.9362 35.3969 120 -656.147 -844.28 -517.862 -2065.33 -1510.47 -860.477
3350 145.55 -311675 -993.849 163882 73.2957 72.9353 35.3984 120 -1267.96 239.385 -1952.98 -2560.21 -663.368 -647.03
3400 144.789 -311674 -433.566 163885 73.2995 72.9342 35.3979 120 -1450.75 240.212 -90.1613 -2488.29 -1204.42 -111.136
3450 144.557 -311674 -357.952 163873 73.2976 72.9334 35.3965 120 -880.219 336.148 -529.784 -2702.45 -787.507 -834.339
3500 144.108 -311673 -455.97 163852 73.2923 72.9337 35.3944 120 -1289.35 333.006 -411.567 -2313.94 -642.465 -925.867
3550 144.616 -311673 -401.726 163823 73.2834 72.9345 35.3921 120 -836.636 275.999 -644.54 -2179.04 -402.429 -637.362
3600 145.13 -311672 -33.8465 163788 73.2712 72.9362 35.3896 120 103.181 -141.879 -62.8415 -2151.37 -739.41 -634.992
3650 145.745 -311672 415.713 163756 73.2583 72.9391 35.3875 120 -351.858 349.626 1249.37 -1785.04 -560.497 59.054
3700 146.709 -311673 837.111 163739 73.2464 72.944 35.3873 120 555.397 738.871 1217.07 -2000.21 -1001.42 -1155.91
3750 147.295 -311674 381.532 163739 73.2365 72.9509 35.3885 120 76.1739 714.333 354.09 -2539.03 -809.635 -695.109
3800 146.881 -311674 873.04 163752 73.2289 72.9603 35.3904 120 1010.16 473.018 1135.95 -1884.25 -936.737 -1063.69
3850 146.104 -311673 135.939 163789 73.2253 72.9724 35.3944 120 778.413 -675.977 305.381 -1693.15 -520.519 -110.008
3900 145.948 -311675 -555.503 163834 73.2255 72.9827 35.3991 120 -17.4054 -615.04 -1034.06 -2155.41 -1623.73 -1275.54
3950 144.558 -311673 -423.092 163871 73.2272 72.99 35.4027 120 61.0562 -1161.81 -168.522 -2356.68 -102.247 -417.492
4000 145.891 -311677 -591.394 163898 73.2291 72.9941 35.4055 120 600.408 -1549.23 -825.356 -1362.45 -1008.33 -754.073
4050 144.486 -311675 -430.29 163906 73.2326 72.9929 35.4061 120 61.0862 -650.675 -701.282 -1413.95 178.895 -709.171
4100 143.962 -311673 -913.272 163896 73.236 72.9869 35.4053 120 -226.785 -1017.47 -1495.56 -2214.13 -557.814 -646.079
4150 146.308 -311676 -72.8983 163870 73.2391 72.9775 35.4027 120 446.607 -436.186 -229.115 -1722.64 -1145.57 -1186.17
4200 145.669 -311674 31.8288 163838 73.2432 72.9657 35.3996 120 305.781 -70.3991 -139.895 -2069.94 -547.378 -958.774
4250 146.549 -311673 576.675 163808 73.2479 72.954 35.3965 120 228.532 611.945 889.548 -2015.78 -1260.93 -647.698
4300 145.882 -311672 640.08 163787 73.253 72.9444 35.3942 120 417.866 1201.21 301.163 -1942.91 -730.905 -837.369
4350 146.507 -311672 -240.097 163775 73.2585 72.9373 35.3924 120 -263.363 -22.8944 -434.033 -2172.87 -1323.13 -651.444
4400 146.124 -311672 560.327 163760 73.2625 72.9309 35.3902 120 336.501 788.609 555.873 -2150.92 -1137.57 -629.386
4450 147.619 -311676 621.094 163758 73.2675 72.9272 35.3892 120 -13.4674 1771.24 105.508 -1974.53 -782.369 -1045.04
4500 144.987 -311673 456.229 163771 73.2732 72.9281 35.3888 120 -436.497 1182.84 622.344 -2730.68 -731.274 -1269.28
4550 145.454 -311675 311.823 163792 73.2774 72.9325 35.3893 120 -584.006 554.667 964.808 -2529.1 -823.756 -660.378
4600 144.869 -311675 -741.838 163815 73.279 72.9378 35.3907 120 -1290.76 37.9349 -972.688 -2501.71 -248.627 -1050.54
4650 144.363 -311674 500.802 163824 73.2762 72.9435 35.3914 120 -52.7762 517.067 1038.12 -2137.8 -1097.81 -551.734
4700 146.122 -311677 -26.2275 163834 73.271 72.9512 35.3924 120 -100.503 -118.198 140.019 -2253.05 -845.667 -1529.68
4750 146.968 -311678 -363.685 163839 73.2638 72.9588 35.3933 120 -626.644 -435.043 -29.3682 -2091.69 -1498.54 -426.863
4800 145.579 -311673 348.984 163836 73.2546 72.9649 35.394 120 451.161 -93.6475 689.439 -2173.18 -459.042 -683.414
4850 147.711 -311676 -401.156 163829 73.2454 72.9694 35.3947 120 -357.766 -372.89 -472.814 -2284.52 -1115.74 -675.671
4900 146.781 -311674 -128.969 163811 73.2348 72.9721 35.3947 120 432.49 -448.959 -370.438 -2200.14 -855.041 -1061.08
4950 146.986 -311674 439.931 163794 73.2262 72.9738 35.3943 120 1613.43 -419.686 126.048 -1700.48 -1586.2 -294.61
5000 146.496 -311673 522.073 163792 73.2236 72.9757 35.3942 120 882.337 -307.464 991.346 -1343.17 -352.715 -637.487
5050 147.191 -311675 -745.022 163804 73.2249 72.9769 35.3955 120 -162.393 -1059.77 -1012.9 -2309.85 -853.881 -1068.95
