# Time-averaged data for fix 2
# TimeStep c_thermo_temp c_thermo_pe c_thermo_press v_myVol v_myCella v_myCellb v_myCellc v_myCellgamma c_thermo_press[1] c_thermo_press[2] c_thermo_press[3] c_thermo_press[4] c_thermo_press[5] c_thermo_press[6]
7800 69.8269 -311789 374.794 163407 73.0904 72.8949 35.4146 120 244.981 755.413 123.988 -1577.89 979.132 1208.97
7850 69.8522 -311789 3.87195 163436 73.0938 72.9028 35.4154 120 -209.544 285.468 -64.3085 -1811.45 710.567 500.491
7900 70.7589 -311789 -534.171 163468 73.0965 72.9133 35.4159 120 -8.84674 -403.359 -1190.31 -1902.67 931.406 866.047
7950 71.0799 -311787 -555.907 163484 73.0993 72.9208 35.4143 120 -568.797 -857.735 -241.19 -1730.28 1589.78 496.664
8000 70.7231 -311785 -315.042 163471 73.0975 72.9229 35.4115 120 -16.6165 -456.654 -471.856 -1366.47 1491.03 757.723
8050 71.845 -311786 -243.578 163438 73.0935 72.9199 35.4077 120 -420.889 -198.808 -111.038 -1503.49 1261.62 1097.81
8100 72.0641 -311787 -135.011 163404 73.0886 72.9152 35.405 120 -293.824 -486.995 375.784 -1717.45 1217.17 925.744
8150 71.7801 -311787 679.632 163374 73.083 72.9085 35.4045 120 836.223 569.726 632.946 -1694.77 811.291 856.415
8200 71.3378 -311787 375.417 163382 73.0827 72.9072 35.407 120 446.631 326.747 352.873 -1641.26 740.776 788.703
8250 70.7932 -311788 226.279 163417 73.087 72.9098 35.4112 120 21.8581 486.534 170.443 -1567.74 1486.13 797.422
8300 70.9125 -311790 -37.0631 163454 73.0921 72.9126 35.4153 120 -520.167 219.695 189.283 -1426.64 752.03 1015.25
8350 70.732 -311790 51.8274 163479 73.0954 72.9134 35.4189 120 102.285 -156.398 209.596 -1583.95 985.565 730.715
8400 70.537 -311790 -547.595 163498 73.0992 72.9126 35.4216 120 -168.93 -545.149 -928.705 -1916.43 1435.93 980.51
8450 70.3567 -311790 -232.248 163493 73.1008 72.9093 35.4212 120 -241.622 124.793 -579.916 -1775.68 1200.41 832.969
8500 70.4107 -311789 -64.0378 163469 73.1001 72.9048 35.4185 120 -142.255 6.62712 -56.4852 -1519.19 1136.41 1037.67
8550 71.2803 -311789 -185.198 163436 73.0975 72.9001 35.4149 120 -205.539 296.786 -646.84 -1908.57 1461.27 1395.97
8600 71.5473 -311788 64.6489 163400 73.0936 72.8985 35.4099 120 -413.873 481.478 126.341 -2036.54 830.909 648.189
8650 72.0214 -311787 929.109 163377 73.0891 72.902 35.4054 120 700.788 844.492 1242.05 -1845.68 637.589 766.345
8700 71.5517 -311786 331.869 163390 73.0884 72.9113 35.4038 120 202.094 152.463 641.05 -1520.63 875.609 1524.77
8750 72.1977 -311787 -264.04 163425 73.0899 72.9227 35.4052 120 -275.079 -754.083 237.043 -1812.74 991.313 326.977
8800 71.6352 -311786 -5.11855 163456 73.0902 72.9304 35.408 120 114.028 -490.795 361.412 -1806.19 1092.69 1249.35
8850 71.4464 -311787 -742.556 163478 73.0894 72.9335 35.4118 120 -369.643 -840.737 -1017.29 -1835.26 885.978 1091.66
8900 71.1307 -311788 -91.3752 163473 73.0869 72.9294 35.4139 120 65.0586 -651.846 312.662 -1902.94 1156.18 949.312
8950 70.6869 -311790 -82.6815 163459 73.0857 72.9199 35.4159 120 259.872 -384.493 -123.424 -1395.02 284.546 1335.18
9000 70.0781 -311790 -254.1 163444 73.0871 72.9096 35.4171 120 -474.922 1.6149 -288.994 -1468.16 1035.6 950.248
9050 70.4785 -311791 438.189 163426 73.0875 72.9011 35.4171 120 674.967 485.93 153.669 -1764.41 633.433 1065.02
9100 70.7373 -311790 409.343 163417 73.0901 72.896 35.4164 120 570.739 432.069 225.221 -1615.64 1200.54 1118.64
9150 70.3988 -311789 256.428 163422 73.0957 72.8953 35.4151 120 231.572 295.909 241.805 -1884.76 1033.41 1099.83
9200 71.125 -311788 68.211 163431 73.1009 72.8974 35.4135 120 -372.111 294.158 282.586 -1798.08 1420.87 882.614
9250 71.1925 -311787 112.898 163432 73.103 72.9003 35.4114 120 -35.5961 322.304 51.9871 -1853.97 1191.34 786.571
9300 71.727 -311786 -34.3652 163434 73.1044 72.9042 35.4093 120 187.576 -212.406 -78.2651 -1661.03 1405.63 1279.21
9350 71.8047 -311786 385.033 163440 73.1059 72.9074 35.4081 120 -99.7226 232.491 1022.33 -1946.95 1055.73 686.184
9400 72.0433 -311786 -373.293 163449 73.1045 72.9106 35.4093 120 -749.622 -317.573 -52.6834 -1900.57 1255.94 1212.96
9450 72.1593 -311788 -138.006 163446 73.0986 72.9128 35.4104 120 -516.722 375.865 -273.16 -1692.52 941.251 666.178
9500 70.6884 -311787 -234.92 163444 73.0911 72.9168 35.4116 120 150.962 -610.903 -244.82 -1344.82 666.319 1213.5
9550 70.478 -311787 -537.036 163442 73.0856 72.9189 35.4128 120 -455.894 -447.555 -707.658 -1500.82 1239.27 272.135
