# Time-averaged data for fix 2
# TimeStep c_thermo_temp c_thermo_pe c_thermo_press v_myVol v_myCella v_myCellb v_myCellc v_myCellgamma c_thermo_press[1] c_thermo_press[2] c_thermo_press[3] c_thermo_press[4] c_thermo_press[5] c_thermo_press[6]
4200 25.4315 -311861 -377.679 163205 72.8851 73.0048 35.417 120 -134.247 -649.966 -348.823 479.72 -1878.1 -249.183
4250 25.0465 -311862 73.3499 163202 72.8857 73.0012 35.4178 120 51.1517 -14.1796 183.078 470.127 -1521.47 -373.194
4300 25.3149 -311863 13.7972 163190 72.8841 72.9969 35.4181 120 82.5245 -79.9648 38.8319 340.105 -2038.43 -488.914
4350 25.0857 -311864 -86.3353 163171 72.8822 72.991 35.4178 120 65.3341 -91.1716 -233.169 305.167 -1866.34 -475.007
4400 24.5172 -311863 476.369 163141 72.8815 72.9832 35.4153 120 333.259 575.528 520.321 131.895 -2116.03 -470.096
4450 24.6495 -311864 147.044 163148 72.884 72.9842 35.4153 120 22.7192 227.834 190.578 280.787 -1960.69 -616.376
4500 24.3653 -311864 -89.0482 163183 72.8889 72.9901 35.4175 120 -49.786 21.2475 -238.606 270.972 -1815.04 -546.493
4550 24.4929 -311864 -170.011 163199 72.8912 72.9941 35.418 120 -304.514 -97.2212 -108.299 351.993 -1716.79 -241.701
4600 24.6006 -311864 -28.1156 163185 72.8885 72.9942 35.4162 120 -125.029 59.7666 -19.0844 203.475 -1896.1 -687.162
4650 25.0403 -311863 150.717 163175 72.8866 72.9938 35.415 120 270.661 22.7891 158.702 225.477 -1988.86 -558.766
4700 25.2675 -311863 178.301 163178 72.8883 72.9932 35.4152 120 88.5997 199.322 246.981 269.663 -1735.57 -785.611
4750 25.5346 -311862 -364.508 163197 72.8914 72.9961 35.4165 120 -296.35 -76.5969 -720.578 305.352 -1798.89 -726.239
4800 25.5443 -311862 113.085 163194 72.8913 72.9988 35.4146 120 192.273 -152.406 299.387 343.998 -1832.71 -578.618
